,Course Name,Major
29,".teaching-area-dark { color: #335890 !important; }
        .teaching-area-bright { color: #5798E1  !important; }
        .teaching-area-light { color: #DDEAF9  !important; }

        .teaching-area-background-light,
        .block-views-blockteaching-area-people-leadership { background-color: #DDEAF9  !important; }

        .teaching-area-border-bright {
            border-color: #5798E1;
        }
        
        @media screen and (min-width: 48em) {
            .page__header-title,
            .page__header-title:before { 
                background-color: #335890; /* fallback */
                background-color: #335890E6; /* #RRGGBBAA */
                border-bottom-color: #5798E1;
            }
        }

        @media screen and (max-width: 47.9988em) {
            .page__header-image-wrapper > .grid-container { 
                background-color: #335890; 
            }
        }

        .local-nav.menu.vertical.sublevel-1 > li > a:hover,
        .local-nav.menu.vertical.sublevel-1 > li > a:focus { background-color: #335890; }
        .local-nav.menu.vertical.sublevel-1 > li > a.is-active,
        .local-nav.menu.vertical.sublevel-1 > li.expanded > a { background-color: #335890; }


        .local-nav.menu.vertical .sublevel-2 > li > a { background-color: #DDEAF9; }
        .local-nav.menu.vertical .sublevel-2 > li > a:hover,
        .local-nav.menu.vertical .sublevel-2 > li > a:focus { background-color: #335890; }
        .local-nav.menu.vertical .sublevel-2 > li > a.is-active { 
            background-color: #DDEAF9; 
            color: black;
        }

        #carousel__dots .slick-dots button,
        #featured-news__dots .slick-dots button { background-color: #5798E1 }
        #carousel__arrows .slick-arrow,
        #featured-news__arrows .slick-arrow { background-color: #5798E1 }
        .carousel-item__style-rectangle .carousel-item__link a:hover,
        .carousel-item__style-rectangle .carousel-item__link a:focus { color: #335890; }
        .carousel-item__style-round .carousel-item__link a:hover, 
        .carousel-item__style-round .carousel-item__link a:focus { background-color: #335890; }

        .teaching-area__research-area a { 
            border-color: #5798E1;
            background-color: #DDEAF9; }
        .teaching-area__research-area a:hover,
        .teaching-area__research-area a:focus { background-color: #335890; }

        .course-teaser__title a:hover,
        .course-teaser__title a:focus { color: #335890; }

        .course-teaser__website:hover,
        .course-teaser__website:focus { background-color: #335890; }

        .localist__container-inner,
        .localist__container-inner:before { background: #DDEAF9; }

        .teaching-area__featured-stories-link:hover,
        .teaching-area__featured-stories-link:focus { color: #335890; }",Computer Science
30,Course Listing,Computer Science
31,"For a snapshot of courses being offered by Harvard School of Engineering over the next four years, visit our",Computer Science
32,Muliti Year Course Planning,Computer Science
33,tool.,Computer Science
34,COMPSCI 1,Computer Science
35,2020 Spring,Computer Science
36,Henry Leitner,Computer Science
37,"Tuesday, Thursday",Computer Science
38,10:30am to 11:45am,Computer Science
39,"An introduction to the most important discoveries and intellectual paradigms in computer science, designed for students with little or no previous background. Explores problem-solving using high and low-level programming languages; presents an integrated view of computer systems, from switching circuits up through compilers and GUI design. Examines theoretical and practical limitations related to unsolvable and intractable computational problems, and the social and ethical dilemmas presented by such issues as software unreliability and invasions of privacy.",Computer Science
40,Course Website,Computer Science
41,COMPSCI 10,Computer Science
42,2020 Spring,Computer Science
43,"Hanspeter Pfister, Joseph Blitzstein, Xiao-Li Meng, Liberty Vittert",Computer Science
44,"Monday, Wednesday, Friday",Computer Science
45,03:00pm to 04:15pm,Computer Science
46,"Data science combines data, statistical analysis, and computation to gain insights and make useful inferences and predictions. This course will take a holistic approach to helping students understand the key factors involved, from data collection and exploratory data analysis to modeling, evaluation, and communication of results. Working on case studies and a final project in teams will provide students with hands-on experience with the data science process using state-of-the-art tools. Emphasis will be given to the strengths, trade-offs, and limitations of each method to highlight the importance of merging analytical skills with critical quantitative thinking.",Computer Science
47,Course Website,Computer Science
48,COMPSCI 20,Computer Science
49,2020 Spring,Computer Science
50,Rebecca Nesson,Computer Science
51,"Monday, Wednesday, Friday",Computer Science
52,12:00pm to 01:15pm,Computer Science
53,"Widely applicable mathematical tools for computer science, including topics from logic, set theory, combinatorics, number theory, probability theory, and graph theory. Practice in reasoning formally and proving theorems.",Computer Science
54,Course Website,Computer Science
55,COMPSCI 50,Computer Science
56,2019 Fall,Computer Science
57,David Malan,Computer Science
58,"Introduction to the intellectual enterprises of computer science and the art of programming. This course teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, and software engineering. Languages include C, Python, and SQL plus students' choice of: HTML, CSS, and JavaScript (for web development); Java or Swift (for mobile app development); or Lua (for game development). Problem sets inspired by the arts, humanities, social sciences, and sciences. Course culminates in a final project. Designed for concentrators and non-concentrators alike, with or without prior programming experience. Two thirds of CS50 students have never taken CS before. Among the overarching goals of this course are to inspire students to explore unfamiliar waters, without fear of failure, create an intensive, shared experience, accessible to all students, and build community among students.",Computer Science
59,Course Website,Computer Science
60,COMPSCI 50,Computer Science
61,2020 Spring,Computer Science
62,"David Malan, Brian Yu",Computer Science
63,Tuesday,Computer Science
64,03:00pm to 05:45pm,Computer Science
65,"Introduction to the intellectual enterprises of computer science and the art of programming. This course teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, and software engineering. Languages include C, Python, and SQL plus HTML, CSS, and JavaScript. Problem sets inspired by the arts, humanities, social sciences, and sciences. Course culminates in a final project.",Computer Science
66,Course Website,Computer Science
67,COMPSCI 51,Computer Science
68,2020 Spring,Computer Science
69,Stuart Shieber,Computer Science
70,"Fundamental concepts in the design of computer programs, emphasizing the crucial role of abstraction. The goal of the course is to give students insight into the difference between programming and programming well. To emphasize the differing approaches to expressing programming solutions, you will learn to program in a variety of paradigms -- including functional, imperative, and object-oriented. Important ideas from software engineering and models of computation will inform these different views of programming.",Computer Science
71,Course Website,Computer Science
72,COMPSCI 61,Computer Science
73,2019 Fall,Computer Science
74,"Eddie Kohler, Michael Smith",Computer Science
75,"Tuesday, Thursday",Computer Science
76,01:30pm to 02:45pm,Computer Science
77,"Fundamentals of computer systems programming, machine organization, and performance tuning. This course provides a solid background in systems programming and a deep understanding of low-level machine organization and design. Topics include C and assembly language programming, program optimization, memory hierarchy and caching, virtual memory and dynamic memory management, concurrency, threads, and synchronization.",Computer Science
78,Course Website,Computer Science
79,COMPSCI 91R,Computer Science
80,2019 Fall,Computer Science
81,"Stephen Chong, Boaz Barak",Computer Science
82,Supervised individual study of advanced topics in computer science. A student wishing to enroll in Computer Science 91r must be accepted by a faculty member who will supervise the course work. Additional information and a form are available via,Computer Science
83,https://harvardcs.info/forms/#cs-91r-form,Computer Science
84,. The form must be filled out and signed by the student and faculty supervisor. Students writing theses may enroll in this course while conducting thesis research and writing.,Computer Science
85,Course Website,Computer Science
86,COMPSCI 91R,Computer Science
87,2020 Spring,Computer Science
88,"Stephen Chong, Boaz Barak",Computer Science
89,Supervised individual study of advanced topics in computer science. A student wishing to enroll in Computer Science 91r must be accepted by a faculty member who will supervise the course work. Additional information and a form are available via,Computer Science
90,https://harvardcs.info/forms/#cs-91r-form,Computer Science
91,. The form must be filled out and signed by the student and faculty supervisor. Students writing theses may enroll in this course while conducting thesis research and writing.,Computer Science
92,Course Website,Computer Science
93,COMPSCI 100,Computer Science
94,2019 Fall,Computer Science
95,Douglas Lloyd,Computer Science
96,"Monday, Wednesday",Computer Science
97,01:30pm to 02:45pm,Computer Science
98,"Introduction to applications of computer science (including web technologies, visualization, and database design) to domains in the arts and humanities. Emphasis on principles of software engineering and best practices, including code reviews, source control, and testing. Languages include JavaScript and SQL. Students work in teams to design and implement solutions to problems proposed by faculty from departments across campus. Offered jointly with Yale University.",Computer Science
99,Course Website,Computer Science
100,COMPSCI 105,Computer Science
101,2019 Fall,Computer Science
102,James Waldo,Computer Science
103,"Tuesday, Thursday",Computer Science
104,01:30pm to 02:45pm,Computer Science
105,"What is privacy, and how is it affected by recent developments in technology? This course critically examines popular concepts of privacy and uses a rigorous analysis of technologies to understand the policy and ethical issues at play. Case studies: database anonymity, research ethics, wiretapping, surveillance, and others. Course relies on some technical material, but is open and accessible to all students, especially those with interest in economics, engineering, political science, computer science, sociology, biology, law, government, philosophy.",Computer Science
106,Course Website,Computer Science
107,COMPSCI 108,Computer Science
108,2020 Spring,Computer Science
109,"Milind Tambe, David Grant",Computer Science
110,"Monday, Wednesday",Computer Science
111,03:00pm to 04:15pm,Computer Science
112,"This course explores the use of artificial intelligence to tackle difficult social problems, and considers how to address ethical challenges that arise through appropriate design techniques. Drawing on work by computer scientists, philosophers, and social scientists, we will analyze several real-world case studies featuring the application of AI methods to problems in public health, conservation and public safety, including HIV prevention, tuberculosis prevention, predictive policing, and wildlife conservation. The course will also feature guest lectures from experts in social work, anthropology, criminology, and public health.",Computer Science
113,Course Website,Computer Science
114,COMPSCI 109A,Computer Science
115,2019 Fall,Computer Science
116,"Pavlos Protopapas, Kevin A. Rader, Christopher Tanner",Computer Science
117,"Monday, Wednesday",Computer Science
118,01:30pm to 02:45pm,Computer Science
119,"Data Science 1 is the first half of a one-year introduction to data science. The course will focus on the analysis of messy, real life data to perform predictions using statistical and machine learning methods. Material covered will integrate the five key facets of an investigation using data: (1) data collection - data wrangling, cleaning, and sampling to get a suitable data set;  (2) data management - accessing data quickly and reliably; (3) exploratory data analysis – generating hypotheses and building intuition; (4) prediction or statistical learning; and (5) communication – summarizing results through visualization, stories, and interpretable summaries. Part one of a two part series. The curriculum for this course builds throughout the academic year. Students are strongly encouraged to enroll in both the fall and spring course within the same academic year.",Computer Science
120,Course Website,Computer Science
121,COMPSCI 109B,Computer Science
122,2020 Spring,Computer Science
123,"Pavlos Protopapas, Mark Glickman, Christopher Tanner",Computer Science
124,"Monday, Wednesday",Computer Science
125,01:30pm to 02:45pm,Computer Science
126,"Data Science 2 is the second half of a one-year introduction to data science. Building upon the material in Data Science 1, the course introduces advanced methods for data wrangling, data visualization, and statistical modeling and prediction. Topics include big data and database management, interactive visualizations, nonlinear statistical models, and deep learning. Part two of a two part series. The curriculum for this course builds throughout the academic year. Students are strongly encouraged to enroll in both the fall and spring course within the same academic year.",Computer Science
127,Course Website,Computer Science
128,COMPSCI 121,Computer Science
129,2019 Fall,Computer Science
130,"Boaz Barak, Madhu Sudan",Computer Science
131,"Tuesday, Thursday",Computer Science
132,10:30am to 11:45am,Computer Science
133,"Computation occurs over a variety of substrates including silicon, neurons, DNA, the stock market, bee colonies and many others. In this course we will study the fundamental capabilities and limitations of computation, including the phenomenon of universality and the duality of code and data. Some of the questions we will touch upon include: Are there functions that cannot be computed? Are there true mathematical statements that can’t be proven? Are there encryption schemes that can’t be broken? Is randomness ever useful for computing? Can we use the quirks of quantum mechanics to speed up computation?",Computer Science
134,Course Website,Computer Science
135,COMPSCI 124,Computer Science
136,2020 Spring,Computer Science
137,Michael Mitzenmacher,Computer Science
138,"Monday, Wednesday",Computer Science
139,12:00pm to 01:15pm,Computer Science
140,"Design and analysis of efficient algorithms and data structures. Algorithm design methods, graph algorithms, approximation algorithms, and randomized algorithms are covered.",Computer Science
141,Course Website,Computer Science
142,COMPSCI 126,Computer Science
143,2019 Fall,Computer Science
144,"Cynthia Dwork, Martha Minow",Computer Science
145,Monday,Computer Science
146,09:00am to 10:10am,Computer Science
147,"Students will learn to analyze and mitigate privacy loss, unfairness, and lack of statistical validity, in data analysis. Principal techniques will come from cryptography, differential privacy, and the newly emerging areas of adaptive data analysis and fairness in machine learning.",Computer Science
148,Course Website,Computer Science
149,COMPSCI 127,Computer Science
150,2020 Spring,Computer Science
151,Boaz Barak,Computer Science
152,"Tuesday, Thursday",Computer Science
153,12:00pm to 01:15pm,Computer Science
154,"Cryptography is as old as human communication itself, but has undergone a revolution in the last few decades. It is now about much more than ""secret writing"" and includes seemingly paradoxical notions such as communicating securely without a shared secret, and computing on encrypted data. In this challenging but rewarding course we will start from the basics of private and public key cryptography and go all the way up to advanced notions such as fully homomorphic encryption and software obfuscation. This is a proof-based course that will be best appreciated by mathematically mature students.",Computer Science
155,Course Website,Computer Science
156,COMPSCI 136,Computer Science
157,2019 Fall,Computer Science
158,David Parkes,Computer Science
159,"Tuesday, Thursday",Computer Science
160,09:00am to 10:15am,Computer Science
161,"The interplay between economic thinking and computational thinking as it relates to electronic commerce, social networks, collective intelligence and networked systems. Topics covered include: game theory, peer production, reputation and recommender systems, prediction markets, crowd sourcing, network influence and dynamics, auctions and mechanisms, privacy and security, matching and allocation problems, computational social choice and behavioral game theory. Emphasis will be given to core methodologies, with students engaged in theoretical, computational and empirical exercises.",Computer Science
162,Course Website,Computer Science
163,COMPSCI 141,Computer Science
164,2020 Spring,Computer Science
165,Vijay Janapa Reddi,Computer Science
166,"Monday, Wednesday",Computer Science
167,01:30pm to 02:45pm,Computer Science
168,This course introduces fundamentals in designing and building modern information devices and systems that interface with the real world. It focuses on,Computer Science
169,digital,Computer Science
170,"devices and systems, and it complements ENG-SCI 152, which focuses on devices and systems that use analog electronics. Topics include: combinational and sequential logic; computer architecture; machine code; and altogether the infrastructure and computational framework composing a MIPS processor. Consideration is given in design to interactions between hardware and software systems. Students will design application specific hardware for an embedded system.",Computer Science
171,Course Website,Computer Science
172,COMPSCI 143,Computer Science
173,2019 Fall,Computer Science
174,H. Kung,Computer Science
175,"Monday, Wednesday",Computer Science
176,04:30pm to 05:45pm,Computer Science
177,"Computer networking has enabled the emergence of mobile and cloud computing, creating two of the most important technological breakthroughs in computing of the past decade.  We expect three major focuses in the next ten years. First, we will witness the emergence of 5G wireless mobile networks, which will begin to replace the current 4G networks as early as 2020, enabling new applications and paradigm shifts in edge computing, such as uploading sensor data for AI applications everywhere. Second, cyber security, and in particular its relation to networking and supply chain security for 5G network infrastructure, will receive unprecedented attention from industry.  Third, blockchain technology, which has powered Bitcoin, is creating a new trusted network infrastructure that will allow information to be distributed but not copied. While these areas are each rich in intellectual content on their own, they will also interplay with one other, creating interesting opportunities for those versed in all three.  In order to play a role in this era of network-based computing, students must have a thorough understanding of these networking technologies and applications. Beyond teaching the basic networking protocols, which have become very mature and can be treated as a black box, in CS 143, we will teach new networking issues and topics of significance. This focus on upcoming wireless, cyber security as it relates to networks, network infrastructure, and the broader supply chain, and blockchain advancements is the motivation for CS 143 this semester.  Students in the course will read and discuss basic material as well as the latest literature, work on homework assignments, gain hands-on experience through network programming, and have the opportunity to present the concepts and insights learned through a final project.",Computer Science
178,Course Website,Computer Science
179,COMPSCI 145,Computer Science
180,2020 Spring,Computer Science
181,Minlan Yu,Computer Science
182,"Monday, Wednesday",Computer Science
183,01:30pm to 02:45pm,Computer Science
184,"Clouds have become critical infrastructures for many applications in business and society (e.g., social media, public health, and entertainment). In this course, we will take a look inside the cloud infrastructure and learn critical technology trends and challenges in the networking and computing layers. We will discuss the design choices of performance, scalability, manageability, and cost in various cloud companies such as Amazon, Google, Microsoft, and Facebook. This course includes lectures and system programming projects.",Computer Science
185,More information can be found at,Computer Science
186,https://github.com/minlanyu/cs145spring20,Computer Science
187,.,Computer Science
188,Course Website,Computer Science
189,COMPSCI 146,Computer Science
190,2019 Fall,Computer Science
191,David Brooks,Computer Science
192,Friday,Computer Science
193,09:00am to 11:45am,Computer Science
194,"Review of the fundamental structures in modern processor design. Topics include computer organization, memory system design, pipelining, and other techniques to exploit parallelism. Emphasis on a quantitative evaluation of design alternatives and an understanding of timing issues.",Computer Science
195,Course Website,Computer Science
196,COMPSCI 148,Computer Science
197,2020 Spring,Computer Science
198,Gu-Yeon Wei,Computer Science
199,"Wednesday, Friday",Computer Science
200,03:00pm to 04:15pm,Computer Science
201,"Presentation of concepts and techniques for the design and fabrication of VLSI systems and digital MOS integrated circuits. Topics include: basic semiconductor theory; MOS transistors and digital MOS circuits design; synchronous machines, clocking, and timing issues; high-level description and modeling of VLSI systems; synthesis and place and route design flows; and testing of VLSI circuits and systems. Various CAD tools for design, simulation, and verification are extensively used.",Computer Science
202,Course Website,Computer Science
203,COMPSCI 152,Computer Science
204,2020 Spring,Computer Science
205,Nada Amin,Computer Science
206,"Tuesday, Thursday",Computer Science
207,01:30pm to 02:45pm,Computer Science
208,"Comprehensive introduction to the principal features and overall design of both traditional and modern programming languages, including syntax, formal semantics, abstraction mechanisms, modularity, type systems, naming, polymorphism, closures, continuations, and concurrency. Provides the intellectual tools needed to design, evaluate, choose, and use programming languages.",Computer Science
209,Course Website,Computer Science
210,COMPSCI 153,Computer Science
211,2019 Fall,Computer Science
212,Stephen Chong,Computer Science
213,"Tuesday, Thursday",Computer Science
214,12:00pm to 01:15pm,Computer Science
215,"Implementation of efficient interpreters and compilers for programming languages. Associated algorithms and pragmatic issues. Emphasizes practical applications including those outside of programming languages proper. Also shows relationships to programming-language theory and design. Participants build a working compiler including lexical analysis, parsing, type checking, code generation, and register allocation. Exposure to run-time issues and optimization.",Computer Science
216,Course Website,Computer Science
217,COMPSCI 161,Computer Science
218,2020 Spring,Computer Science
219,James Mickens,Computer Science
220,"Monday, Wednesday",Computer Science
221,03:00pm to 04:15pm,Computer Science
222,"This course focuses on the design and implementation of modern operating systems. The course discusses threads, processes, virtual memory, schedulers, and the other fundamental primitives that an OS uses to represent active computations. An exploration of the system call interface explains how applications interact with hardware and other programs which are concurrently executing. Case studies of popular file systems reveal how an OS makes IO efficient and robust in the midst of crashes and unexpected reboots. Students also learn how virtualization allows a physical machine to partition its resources across multiple virtual machines. Class topics are reinforced through a series of intensive programming assignments which use a real operating system.",Computer Science
223,Course Website,Computer Science
224,COMPSCI 165,Computer Science
225,2019 Fall,Computer Science
226,Stratos Idreos,Computer Science
227,"Monday, Wednesday",Computer Science
228,12:00pm to 01:15pm,Computer Science
229,"We are in the big data era and data systems sit in the critical path of everything we do. We are going through major transformations in businesses, sciences, as well as everyday life - collecting and analyzing data changes everything and data systems provide the means to store and analyze a massive amount of data. This course is a comprehensive introduction to modern data systems. The primary focus of the course is on the modern trends that are shaping the data management industry right now: column-store and hybrid systems, shared nothing architectures, cache conscious algorithms, hardware/software co-design, main-memory systems, adaptive indexing, stream processing, scientific data management, and key-value stores. We also study the history of data systems, traditional and seminal concepts and ideas such as the relational model, row-store database systems, optimization, indexing, concurrency control, recovery and SQL. In this way, we discuss both how and why data systems evolved over the years, as well as how these concepts apply today and how data systems might evolve in the future. We focus on understanding concepts and trends rather than specific techniques that will soon be outdated - as such the class relies largely on recent research material and on a semi-flipped class model with a lot of hands-on interaction in each class.",Computer Science
230,Course Website,Computer Science
231,COMPSCI 171,Computer Science
232,2019 Fall,Computer Science
233,Hanspeter Pfister,Computer Science
234,"Monday, Wednesday",Computer Science
235,03:00pm to 05:45pm,Computer Science
